oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
562113100004843,67037263,2458424.8763314392,58424.3726389,13.4765854,0.0110694151,0,zg,91.8824426,22.3575478,0.628000021,-0.0340000018,20181102372627,562,0xd,0x1,20.5499992,25.9263134,0.0259698834,-0.0381761827,7.93744039e-06,30,1.16299999,1
562113100004843,67141230,2458425.916076402,58425.4123032,13.4467783,0.0110437628,32768,zg,91.8824384,22.3575389,0.442999989,-0.0329999998,20181103412292,562,0xd,0x1,20.9899998,26.0280533,0.0236750618,-0.0407301821,6.64049185e-06,30,1.06500006,1
562113100004843,67238010,2458426.8839513967,58426.3801042,13.5063095,0.0110952584,0,zg,91.8824531,22.3575351,0.620999992,-0.0179999992,20181104379988,562,0xd,0x1,21.4799995,26.1225014,0.0209208839,-0.0467289798,5.27379507e-06,30,1.125,1
562113100004843,67343083,2458427.934759687,58427.4308333,13.500391,0.0110900924,32768,zg,91.8824557,22.3575858,6.5539999,0.064000003,20181105430833,562,0xd,0x1,20.25,25.6667461,0.0320772193,-0.0280240737,1.23005757e-05,30,1.04200006,1
562113100004843,67433778,2458428.841783067,58428.3377894,13.4361763,0.0110347001,0,zg,91.8824293,22.3575897,11.1210003,0.224999994,20181106337789,562,0xd,0x1,20.8700008,26.315012,0.0529382341,0.00668198895,3.37133461e-05,30,1.26100004,1
562113100004843,67543318,2458429.9372566445,58429.4331829,13.4784651,0.0110710422,0,zg,91.8824874,22.3575487,3.48000002,-0.0520000011,20181107433183,562,0xd,0x1,20.9599991,26.1706638,0.0310351159,-0.0215867572,1.14754766e-05,30,1.03900003,1
562113100004843,67642030,2458430.9244455444,58430.4203009,13.5165691,0.0111042392,0,zg,91.8824434,22.3575296,0.665000021,0.0379999988,20181108420289,562,0xd,0x1,21.6399994,26.1775017,0.0214955993,-0.0612281822,5.59042928e-06,30,1.04299998,1
562113100004843,67743150,2458431.9357206463,58431.4315046,13.4807549,0.0110730249,0,zg,91.88245250000001,22.3575361,0.338,-0.00300000003,20181109431505,562,0xd,0x1,20.5100002,26.1152954,0.0252336506,-0.0541864708,7.54964594e-06,30,1.03799999,1
562113100004843,67842045,2458432.924736049,58432.4204514,13.4617214,0.0110565927,0,zg,91.8824527,22.3575434,0.722000003,-0.061999999,20181110420440,562,0xd,0x1,21.2199993,26.1435184,0.0222881027,-0.0467250012,6.04604429e-06,30,1.03999996,1
562113100004843,68039953,2458434.9039552086,58434.399537,13.4946184,0.0110850632,0,zg,91.882458,22.3575568,0.726999998,-0.00200000009,20181112399525,562,0xd,0x1,20.4799995,26.152441,0.026171606,-0.0388470888,8.23002392e-06,30,1.051,1
562113100004843,68343340,2458437.9380157995,58437.4334028,13.5130253,0.0111011332,0,zg,91.8824442,22.3575495,0.717999995,-0.0120000001,20181115433391,562,0xd,0x1,20.8799992,26.1708221,0.0235202461,-0.0463359505,6.68616576e-06,30,1.04100001,1
562113100004843,68439762,2458438.9022996016,58438.3976273,13.4763994,0.0110692549,32768,zg,91.88243240000001,22.3575374,0.976999998,-0.0209999997,20181116397512,562,0xd,0x1,20.5699997,25.6122608,0.0275182165,-0.047021769,9.09984374e-06,30,1.04400003,1
562113100004843,68643333,2458440.9381265743,58440.4333333,13.5199652,0.0111072194,32768,zg,91.8824509,22.3575281,0.879999995,-0.0560000017,20181118433333,562,0xd,0x1,21.3700008,25.9366493,0.0247405525,-0.0654369667,7.49937408e-06,30,1.046,1
562113100004843,68745355,2458441.958404898,58441.4535532,13.4955969,0.0110859135,0,zg,91.8824396,22.3575298,0.623000026,-0.0199999996,20181119453530,562,0xd,0x1,21.3099995,26.1600533,0.0219712239,-0.0660527945,5.85947555e-06,30,1.07299995,1
562113100004843,68949792,2458444.0028924546,58443.4979282,13.5647831,0.0111468825,32768,zg,91.8823986,22.3575416,4.34499979,0.0500000007,20181121497917,562,0xd,0x1,20.1499996,26.244463,0.0293419398,-0.129824862,1.06369389e-05,30,1.21000004,1
562113100004843,69645405,2458450.9593515736,58450.4540509,13.5604572,0.0111430269,32768,zg,91.8823768,22.3575643,1.59099996,-0.0170000009,20181128453970,562,0xd,0x1,20.2600002,26.2249451,0.0266370233,-0.111236602,8.52715402e-06,30,1.12699997,1
