time,flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
2500.929010862565,0.99881226,0.0029075686,183379,1.0127505,0.99881226,0.0029075686,4096,0,292.43958,381.16116,130.05,621.74,0.9991622,0.9978158
2500.935955988426,1.0027874,0.0029075686,183380,1.0166867,1.0027874,0.0029075686,4096,0,292.43768,381.16147,137.54,922.91,1.0013096,1.0040264
2500.9429011142865,0.9988285,0.0029075686,183381,1.0125729,0.9988285,0.0029075686,4096,0,292.43643,381.16016,217.68,697.18,0.99851507,1.00021
2500.9498462401475,1.0010675,0.0029075686,183382,1.0147369,1.0010675,0.0029075686,4096,0,292.4373,381.1633,200.65,739.26,1.0007864,1.000043
2500.9567913660067,1.0028771,0.0029075686,183383,1.0164593,1.0028771,0.0029075686,4096,0,292.4374,381.16217,577.74,660.51,1.0016909,1.0029094
2500.963736491705,1.0043824,0.0029075686,183384,1.0178673,1.0043824,0.0029075686,4096,0,292.4386,381.1635,127.17,816.06,1.0025016,1.0053095
2500.9706816172525,0.9972182,0.0029075686,183385,1.0104848,0.9972182,0.0029075686,4096,0,292.4387,381.16284,579.48,768.69,0.99886745,0.99630857
2500.977626742797,1.0001993,0.0029075686,183386,1.0133777,1.0001993,0.0029075686,4096,0,292.43622,381.16364,426.58,764.99,0.9991658,0.999759
2500.984571868342,0.9980247,0.0029075686,183387,1.0110414,0.9980247,0.0029075686,4096,0,292.43625,381.16177,422.79,860.22,0.99858814,0.99668217
2500.991516993888,1.0014122,0.0029075686,183388,1.0143344,1.0014122,0.0029075686,4096,0,292.4367,381.16333,186.35,723.06,1.0003221,1.0024419
2500.998462119435,0.998943,0.0029075686,183389,1.0116903,0.998943,0.0029075686,4096,0,292.4356,381.1669,380.17,647.5,0.99903756,0.9982865
2501.0054072448106,1.0035553,0.0029075686,183390,1.0162125,1.0035553,0.0029075686,4096,0,292.43753,381.1668,605.35,650.01,1.002536,1.0045103
2501.0123523700236,0.99986255,0.0029075686,183391,1.0123199,0.99986255,0.0029075686,4096,0,292.43707,381.16708,43.27,639.88,0.99892443,1.0006044
2501.0192974952356,0.99998367,0.0029075686,183392,1.0122845,0.99998367,0.0029075686,4096,0,292.43805,381.16748,262.43,615.69,1.0007737,0.9982832
2501.026242620451,0.99878335,0.0029075686,183393,1.010907,0.99878335,0.0029075686,4096,0,292.4364,381.16595,180.77,612.24,0.9981011,0.9996677
2501.0331877456642,1.0049627,0.0029075686,183394,1.0169933,1.0049627,0.0029075686,0,0,292.43826,381.1662,205.08,653.44,1.0023862,1.0069672
2501.040132870876,1.000763,0.0029075686,183395,1.0125717,1.000763,0.0029075686,0,0,292.43704,381.16586,217.6,647.02,1.0005178,1.0012584
2501.047077995911,0.9978435,0.0029075686,183396,1.0094421,0.9978435,0.0029075686,0,0,292.43723,381.16605,624.77,731.22,0.99935776,0.9969141
2501.054023120776,1.0060431,0.0029075686,183397,1.0175557,1.0060431,0.0029075686,0,0,292.4358,381.1656,406.33,761.82,1.0044142,1.0056248
2501.060968245642,1.0050712,0.0029075686,183398,1.0163873,1.0050712,0.0029075686,0,0,292.43814,381.16855,282.67,684.58,1.0022907,1.005816
2501.067913370507,1.0002824,0.0029075686,183399,1.0113562,1.0002824,0.0029075686,0,0,292.4371,381.1676,108.76,604.34,1.0005271,1.000604
2501.0748584953712,1.0056398,0.0029075686,183400,1.0165794,1.0056398,0.0029075686,0,0,292.4366,381.16608,216.42,724.4,1.002637,1.007677
2501.081803620237,0.9941902,0.0029075686,183401,1.0048102,0.9941902,0.0029075686,0,0,292.438,381.1656,568.02,595.24,0.9975233,0.99141777
2501.0887487449177,0.9998407,0.0029075686,183402,1.0103213,0.9998407,0.0029075686,0,0,292.43466,381.16898,230.34,660.08,1.0005803,0.99775296
2501.0956938694194,0.99526113,0.0029075686,183403,1.0054911,0.99526113,0.0029075686,2048,0,292.4372,381.16815,273.29,630.94,0.9980679,0.99324334
2501.1026389939234,1.0015458,0.0029075686,183404,1.011633,1.0015458,0.0029075686,0,0,292.43735,381.17072,-16.64,676.51,1.0005343,1.0023917
2501.109584118426,1.0022333,0.0029075686,183405,1.0121167,1.0022333,0.0029075686,0,0,292.43732,381.16882,298.18,789.36,1.0003101,1.0034367
2501.116529242932,1.0000702,0.0029075686,183406,1.0097184,1.0000702,0.0029075686,0,0,292.43756,381.16937,274.43,674.12,0.9998087,1.0001497
2501.123474367434,0.99809265,0.0029075686,183407,1.0075052,0.99809265,0.0029075686,0,0,292.43454,381.16998,239.77,728.64,0.99901634,0.99771583
2501.130419491745,1.0043391,0.0029075686,183408,1.0135896,1.0043391,0.0029075686,2048,0,292.4363,381.17075,282.77,564.46,1.0016108,1.0062331
2501.1373646158754,1.0041032,0.0029075686,183409,1.0131276,1.0041032,0.0029075686,0,0,292.43405,381.1685,227.42,564.06,1.0013663,1.0056516
2501.144309740005,1.000247,0.0029075686,183410,1.0090106,1.000247,0.0029075686,0,0,292.43634,381.1693,254.02,545.72,0.9993419,1.0018988
2501.1512548641344,0.99695486,0.0029075686,183411,1.0054616,0.99695486,0.0029075686,0,0,292.43753,381.17084,186.11,656.26,0.99821246,0.9963103
2501.1581999882633,1.0010306,0.0029075686,183412,1.0093403,1.0010306,0.0029075686,0,0,292.4382,381.1696,280.17,627.76,1.0009074,1.001483
2501.165145112393,0.9987994,0.0029075686,183413,1.0068568,0.9987994,0.0029075686,0,0,292.4358,381.17184,289.07,657.93,0.99900115,0.9978228
2501.172090236327,1.0052034,0.0029075686,183414,1.0130746,1.0052034,0.0029075686,0,0,292.4368,381.17484,221.81,665.56,1.003373,1.0060599
2501.179035360071,1.0063617,0.0029075686,183415,1.0140016,1.0063617,0.0029075686,0,0,292.4349,381.17065,126.21,551.51,1.0026953,1.0094866
2501.185980483816,1.0009633,0.0029075686,183416,1.0083208,1.0009633,0.0029075686,0,0,292.43695,381.17175,306.17,456.32,1.0016325,0.999887
2501.192925607562,0.9975242,0.0029075686,183417,1.0046135,0.9975242,0.0029075686,0,0,292.43588,381.1723,343.25,675.05,0.9979422,0.99605596
2501.199870731306,0.9958913,0.0029075686,183418,1.0027244,0.9958913,0.0029075686,0,0,292.43655,381.1728,446.28,708.36,0.9983256,0.9942349
2501.206815855052,0.9996684,0.0029075686,183419,1.0062801,0.9996684,0.0029075686,0,0,292.433,381.1736,604.36,754.28,1.0015808,0.99843967
2501.213760978596,1.0007148,0.0029075686,183420,1.0070838,1.0007148,0.0029075686,0,0,292.43484,381.17422,322.44,568.64,1.0015296,1.0000674
2501.220706101946,0.9931464,0.0029075686,183421,0.99921775,0.9931464,0.0029075686,0,0,292.4336,381.1725,468.06,490.5,0.99605274,0.99127376
2501.2276512252984,1.0013545,0.0029075686,183422,1.0072228,1.0013545,0.0029075686,0,0,292.4344,381.17233,85.24,669.29,1.0005744,1.0027201
2501.234596348651,1.0017403,0.0029075686,183423,1.0073559,1.0017403,0.0029075686,0,0,292.43585,381.17276,518.79,559.82,1.0007658,1.0028989
2501.2415414720012,0.9965221,0.0029075686,183424,1.0018536,0.9965221,0.0029075686,0,0,292.4367,381.17432,255.75,540.37,0.99663943,0.99639237
2501.248486595354,1.0005952,0.0029075686,183425,1.005691,1.0005952,0.0029075686,0,0,292.43774,381.1751,238.88,592.16,0.99994636,1.0002377
2501.255431718499,0.9970122,0.0029075686,183426,1.0018319,0.9970122,0.0029075686,0,0,292.43573,381.17474,376.65,459.73,0.99811155,0.99574167
2501.262376841449,1.0004733,0.0029075686,183427,1.0050498,1.0004733,0.0029075686,0,0,292.43604,381.17554,361.68,694.93,1.0012891,0.9985468
2501.2693219643998,0.9970552,0.0029075686,183428,1.0013561,0.9970552,0.0029075686,0,0,292.43732,381.17853,302.03,742.17,0.998885,0.99683005
2501.27626708735,1.0007638,0.0029075686,183429,1.0048187,1.0007638,0.0029075686,0,0,292.43546,381.17316,491.91,417.65,1.0002387,1.0012589
2501.2832122102996,0.996323,0.0029075686,183430,1.0000981,0.996323,0.0029075686,0,0,292.4337,381.17813,636.68,684.6,0.9972128,0.99340534
2501.290157333251,0.9978932,0.0029075686,183431,1.0014114,0.9978932,0.0029075686,0,0,292.43582,381.1758,464.43,725.28,0.99834406,0.9975515
2501.2971024559897,1.0006006,0.0029075686,183432,1.0038642,1.0006006,0.0029075686,0,0,292.43622,381.17368,384.3,572.61,1.0002387,1.001461
2501.304047578532,1.0018289,0.0029075686,183433,1.0048312,1.0018289,0.0029075686,0,0,292.43692,381.17722,314.27,545.06,1.001848,1.0012966
2501.3109927010737,1.0061085,0.0029075686,183434,1.008857,1.0061085,0.0029075686,0,0,292.43375,381.17725,244.32,615.55,1.0035607,1.0082098
